city,lat,lon,date,rainfall_weekly,rainfall_30d,rainfall_90d,temp_mean,temp_max,temp_min,humidity_mean,wind_speed,solar_radiation,et0,Sample_ID,Soil_Collection_Date,Depth_cm,pH,Org_Carbon_pct,Nitrogen_pct,Texture_Code_encoded,month,year,day_of_year
Nashik,19.9975,73.7898,2021-01-10,-0.4115174819694283,-0.46147782608925075,-0.5097004377596664,-1.740585380753828,-1.6970958205139544,-1.7364227001084338,-0.8789609146015709,-1.1406783121324633,0.05923261477577738,-1.4279747383765338,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-1.5931303020443854,-0.7104994938867517,-1.6381417831341312
Nashik,19.9975,73.7898,2021-01-17,-0.4115174819694283,-0.46147782608925075,-0.5097004377596664,-1.8709781118126207,-1.7087900164897736,-1.9716645815694596,-1.0228264432070153,-0.9024316137196918,0.12012539302000975,-1.2826689835689704,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-1.5931303020443854,-0.7104994938867517,-1.5717821672101815
Nashik,19.9975,73.7898,2021-01-24,-0.4115174819694283,-0.46147782608925075,-0.5097004377596664,-1.9158444278758613,-1.8111142312781883,-1.9493231738329375,-1.040475374225527,-1.054993096036642,0.19696627985201776,-1.3311042351714915,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-1.5931303020443854,-0.7104994938867517,-1.5054225512862318
Nashik,19.9975,73.7898,2021-01-31,-0.4115174819694283,-0.46147782608925075,-0.5097004377596664,-1.788255841571021,-1.6927104970230227,-1.83104513287488,-0.8859135237906818,-1.0738020459113347,0.2883054472183666,-1.2019435642314351,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-1.5931303020443854,-0.7104994938867517,-1.439062935362282
Nashik,19.9975,73.7898,2021-02-07,-0.4115174819694283,-0.46147782608925075,-0.5097004377596664,-1.734977091245923,-1.619621772174155,-1.7968759210425522,-1.098770328195763,-1.2765207278941315,0.39269306706562235,-1.072782893291379,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-1.3037726062659687,-0.7104994938867517,-1.3727033194383322
Nashik,19.9975,73.7898,2021-02-14,-0.4115174819694283,-0.46147782608925075,-0.5250873439792165,-1.8205035062414754,-1.7248695359565243,-1.8599575428868498,-1.1233718684033855,-0.933779863510846,0.5057796552334831,-1.0808554352251323,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-1.3037726062659687,-0.7104994938867517,-1.3063437035143826
Nashik,19.9975,73.7898,2021-02-21,-0.4115174819694283,-0.46147782608925075,-0.5250873439792165,-1.729368801738018,-1.5801538607557666,-1.8205315292341637,-0.9982249029993928,-1.2535320113806183,0.6232157275616459,-0.8467517191462802,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-1.3037726062659687,-0.7104994938867517,-1.2399840875904327
Nashik,19.9975,73.7898,2021-02-28,-0.4115174819694283,-0.46147782608925075,-0.5250873439792165,-1.6326258077266556,-1.6108511251922906,-1.6115736568749288,-1.1014444086531132,-1.2159141116312333,0.7435514559966774,-0.9113320546163084,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-1.3037726062659687,-0.7104994938867517,-1.173624471666483
Nashik,19.9975,73.7898,2021-03-07,-0.4115174819694283,-0.46147782608925075,-0.5250873439792165,0.2812029868459477,0.5131072189158047,0.06534612381930921,-0.937790684663277,0.10489214623606144,0.8638871844317082,0.5982332869956001,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-1.0144149104875522,-0.7104994938867517,-1.1072648557425333
Nashik,19.9975,73.7898,2021-03-14,-0.4115174819694283,-0.46147782608925075,-0.5250873439792165,0.25035739455246997,0.4999512484430091,0.020663308346265275,-1.0795169489028411,-0.2002308183978388,0.9798734287064372,0.7516115837369165,S_0060,2021-01-31,0.0,-1.872172252171779,1.7382573834828827,2.3519411612143197,1.5914053782566988,-1.0144149104875522,-0.7104994938867517,-1.0409052398185834
